State,Date,Dem,GOP,Oth
CA,08/27/2024,58.22,35.61,4.06
ME2,08/27/2024,50.04,45.43,2.25
TX,08/27/2024,44.07,50.34,2.0
ME,08/27/2024,56.04,39.75,2.17
NM,08/27/2024,49.95,41.61,4.22
AZ,08/27/2024,46.38,47.49,
MT,08/27/2024,40.52,55.73,4.33
PA,08/27/2024,47.66,47.29,
VA,08/27/2024,47.95,44.95,6.0
National,08/27/2024,49.07,46.11,0.0
MI,08/27/2024,47.4,45.69,
MN,08/27/2024,48.88,42.05,3.38
NE2,08/27/2024,47.89,42.0,3.5
GA,08/27/2024,47.82,47.73,3.37
OH,08/27/2024,42.35,51.48,9.0
MI,08/28/2024,47.33,45.72,
NE2,08/28/2024,47.52,42.0,3.5
AZ,08/28/2024,46.35,47.5,
ME,08/28/2024,56.04,39.75,2.17
National,08/28/2024,49.09,46.09,0.0
CA,08/28/2024,58.22,35.62,4.06
WI,08/28/2024,48.58,45.86,3.38
FL,08/28/2024,44.27,49.6,
OH,08/28/2024,42.72,51.78,9.0
VA,08/28/2024,47.69,44.69,6.0
TX,08/28/2024,44.08,50.57,2.0
PA,08/28/2024,47.68,47.31,
GA,08/28/2024,47.84,47.74,3.37
NC,08/28/2024,47.16,47.99,3.49
NH,08/28/2024,50.5,44.73,
ME1,08/28/2024,62.7,34.57,2.0
MT,08/28/2024,40.53,55.73,4.34
NV,08/28/2024,47.74,46.58,
ME2,08/28/2024,50.04,45.43,2.25
MN,08/28/2024,48.89,42.06,3.39
NM,08/28/2024,49.37,41.28,4.56
NE2,08/29/2024,47.51,42.0,3.5
FL,08/29/2024,44.28,49.61,
National,08/29/2024,49.06,46.04,0.0
PA,08/29/2024,47.62,47.25,
WI,08/29/2024,48.57,45.84,3.37
MT,08/29/2024,40.54,55.74,4.34
MI,08/29/2024,47.33,45.71,
TX,08/29/2024,44.08,50.57,2.0
NV,08/29/2024,47.76,46.57,
ME2,08/29/2024,50.04,45.43,2.25
OH,08/29/2024,42.72,51.78,9.0
CA,08/29/2024,58.21,35.62,4.06
ME,08/29/2024,56.04,39.75,2.17
NM,08/29/2024,49.38,41.29,4.54
MN,08/29/2024,48.9,42.07,3.39
NC,08/29/2024,47.17,48.0,3.49
NH,08/29/2024,50.5,44.73,
AZ,08/29/2024,46.36,47.48,
ME1,08/29/2024,62.7,34.57,2.0
GA,08/29/2024,47.85,47.74,3.37
VA,08/29/2024,47.71,44.71,6.0
CA,08/30/2024,58.21,35.63,4.06
National,08/30/2024,49.05,46.09,0.0
NH,08/30/2024,49.92,44.42,
MN,08/30/2024,48.91,42.07,3.4
MI,08/30/2024,47.33,45.71,
NM,08/30/2024,49.39,41.29,4.53
TX,08/30/2024,44.07,50.58,2.0
PA,08/30/2024,47.67,47.26,
NV,08/30/2024,47.76,46.58,
ME1,08/30/2024,62.22,34.67,2.0
GA,08/30/2024,47.84,47.76,3.38
MT,08/30/2024,40.55,55.74,4.35
AZ,08/30/2024,46.35,47.48,
NC,08/30/2024,47.17,48.0,3.49
ME,08/30/2024,55.4,40.1,2.4
ME2,08/30/2024,49.34,45.33,2.6
NE2,08/30/2024,47.5,42.0,3.5
OH,08/30/2024,42.72,51.78,9.0
FL,08/30/2024,44.28,49.61,
WI,08/30/2024,48.57,45.85,3.36
VA,08/30/2024,47.73,44.73,6.0
NM,08/31/2024,49.39,41.3,4.52
TX,08/31/2024,44.07,50.58,2.0
NE2,08/31/2024,47.49,42.0,3.5
OH,08/31/2024,42.72,51.78,9.0
PA,08/31/2024,47.59,47.2,
MN,08/31/2024,48.91,42.08,3.41
ME,08/31/2024,55.37,40.11,2.41
CA,08/31/2024,58.21,35.63,4.06
National,08/31/2024,49.06,46.1,0.0
NV,08/31/2024,47.77,46.59,
GA,08/31/2024,47.7,47.57,3.31
ME1,08/31/2024,62.2,34.67,2.0
AZ,08/31/2024,46.17,47.3,
MT,08/31/2024,40.56,55.75,4.35
VA,08/31/2024,47.75,44.75,6.0
ME2,08/31/2024,49.3,45.33,2.61
MI,08/31/2024,47.34,45.72,
FL,08/31/2024,44.28,49.62,
NC,08/31/2024,47.08,47.95,3.49
WI,08/31/2024,48.49,45.78,3.35
NH,08/31/2024,49.9,44.41,
CA,09/01/2024,58.28,35.51,4.08
NV,09/01/2024,47.7,46.54,
NM,09/01/2024,49.4,41.3,4.5
GA,09/01/2024,47.61,47.55,3.31
PA,09/01/2024,47.63,47.18,
NH,09/01/2024,49.87,44.39,
NE2,09/01/2024,47.48,42.0,3.5
ME1,09/01/2024,62.18,34.68,2.0
National,09/01/2024,49.08,46.12,0.0
ME,09/01/2024,55.35,40.13,2.42
ME2,09/01/2024,49.27,45.32,2.63
AZ,09/01/2024,46.02,47.23,
WI,09/01/2024,48.53,45.75,3.4
MT,09/01/2024,40.57,55.75,4.36
MN,09/01/2024,48.92,42.08,3.41
MI,09/01/2024,47.43,45.56,
OH,09/01/2024,42.72,51.78,9.0
TX,09/01/2024,44.07,50.58,2.0
FL,09/01/2024,44.22,49.43,
NC,09/01/2024,47.07,48.01,3.49
VA,09/01/2024,47.76,44.76,6.0
National,09/02/2024,49.04,46.07,0.0
CA,09/02/2024,58.27,35.52,4.08
ME2,09/02/2024,49.24,45.32,2.64
ME,09/02/2024,55.32,40.14,2.43
NE2,09/02/2024,47.62,42.0,3.5
MT,09/02/2024,40.58,55.76,4.36
MN,09/02/2024,49.06,42.14,3.56
MI,09/02/2024,47.44,45.56,
GA,09/02/2024,47.64,47.58,3.25
NV,09/02/2024,47.81,46.67,
ME1,09/02/2024,62.16,34.68,2.0
PA,09/02/2024,47.54,47.23,
AZ,09/02/2024,45.93,47.31,
NC,09/02/2024,47.04,47.97,3.36
FL,09/02/2024,43.96,49.3,
WI,09/02/2024,48.48,45.83,3.32
NH,09/02/2024,49.85,44.38,
NM,09/02/2024,48.14,40.7,5.04
TX,09/02/2024,44.09,51.08,2.0
VA,09/02/2024,46.92,43.92,6.0
OH,09/02/2024,42.72,51.78,9.0
National,09/03/2024,49.06,46.18,0.0
WI,09/03/2024,48.52,45.79,3.31
NM,09/03/2024,48.36,40.84,5.07
MT,09/03/2024,40.58,55.76,4.37
NE2,09/03/2024,47.61,42.0,3.5
FL,09/03/2024,44.06,49.44,
NC,09/03/2024,47.13,48.06,3.36
OH,09/03/2024,42.72,51.78,9.0
AZ,09/03/2024,46.12,47.38,
NV,09/03/2024,47.8,46.61,
ME2,09/03/2024,49.21,45.32,2.65
ME1,09/03/2024,62.14,34.68,2.0
GA,09/03/2024,47.58,47.55,3.26
NH,09/03/2024,49.84,44.37,
MI,09/03/2024,47.49,45.58,
ME,09/03/2024,55.3,40.15,2.44
MN,09/03/2024,48.77,42.16,3.57
PA,09/03/2024,47.5,47.15,
CA,09/03/2024,58.27,35.52,4.08
TX,09/03/2024,44.09,51.1,2.0
VA,09/03/2024,46.9,43.9,6.0
MI,09/04/2024,47.47,45.68,
AZ,09/04/2024,46.21,47.31,
ME1,09/04/2024,62.13,34.69,2.0
NV,09/04/2024,47.8,46.6,
MN,09/04/2024,48.91,42.02,3.57
MT,09/04/2024,40.49,55.71,4.37
OH,09/04/2024,42.72,51.78,9.0
NC,09/04/2024,47.13,48.06,3.36
FL,09/04/2024,44.05,49.44,
ME2,09/04/2024,49.19,45.31,2.67
WI,09/04/2024,48.46,45.86,3.3
National,09/04/2024,49.07,46.31,0.0
NM,09/04/2024,48.32,40.81,5.1
NE2,09/04/2024,47.6,42.0,3.5
NH,09/04/2024,49.82,44.36,
TX,09/04/2024,44.09,51.11,2.0
ME,09/04/2024,55.28,40.17,2.44
PA,09/04/2024,47.48,47.07,
CA,09/04/2024,58.27,35.53,4.08
VA,09/04/2024,46.89,43.89,6.0
GA,09/04/2024,47.56,47.57,3.26
MT,09/05/2024,40.5,55.71,4.38
PA,09/05/2024,47.48,47.0,
NM,09/05/2024,48.29,40.79,5.12
OH,09/05/2024,42.72,51.78,9.0
CA,09/05/2024,58.27,35.53,4.08
ME,09/05/2024,55.26,40.18,2.45
NH,09/05/2024,49.8,44.35,
ME2,09/05/2024,49.16,45.31,2.68
FL,09/05/2024,44.04,49.44,
AZ,09/05/2024,46.25,47.43,
GA,09/05/2024,47.56,47.57,3.26
ME1,09/05/2024,62.11,34.69,2.0
MI,09/05/2024,47.4,45.54,
NE2,09/05/2024,47.6,42.0,3.5
MN,09/05/2024,48.92,42.02,3.58
NV,09/05/2024,47.78,46.65,
VA,09/05/2024,46.88,43.88,6.0
NC,09/05/2024,47.13,48.06,3.36
TX,09/05/2024,44.11,50.87,2.0
WI,09/05/2024,48.45,45.71,3.3
National,09/05/2024,49.11,46.35,0.0
